brake,date,driver_number,drs,meeting_key,n_gear,rpm,session_key,speed,throttle
0,2023-09-15 12:45:02.318000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:02.598000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:02.918000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:03.279000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:03.519000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:03.919000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:04.159000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:04.599000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:04.759000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:05.039000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:05.399000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:05.679000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:05.919000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:06.079000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:06.438000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:06.678000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:06.958000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:07.118000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:07.318000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:07.558000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:07.758000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:08.118000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:08.478000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:08.758000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:09.118000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:09.318000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:09.759000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:10.119000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:10.359000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:10.639000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:10.959000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:11.199000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:11.399000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:11.839000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:12.079000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:12.359000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:12.639000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:13.078000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:13.478000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:13.638000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:14.078000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:14.438000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:15.318000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:15.478000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:15.838000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:16.158000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:16.479000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:16.679000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:16.919000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:17.159000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:17.399000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:17.719000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:17.879000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:18.119000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:18.479000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:18.679000+00:00,55,0,1219,0,0,9159,0,0
0,2023-09-15 12:45:18.999000+00:00,55,0,1219,0,0,9159,0,0
